V1,club_intfijo,club_meandw,club_tv,club_vozfija
25483,3,1,1,7
25513,3,2,2,4
25506,3,2,3,6
25491,3,2,2,7
25489,3,3,2,7
25488,3,2,3,6
25486,2,2,2,5
25530,2,1,2,6
25535,3,1,2,7
25572,3,2,2,4
25580,3,3,3,8
25592,4,3,3,8
25594,3,1,2,8
25596,3,2,2,6
25524,3,2,2,7
25518,3,2,3,7
25599,2,3,2,3
25612,1,2,1,4
25645,3,2,2,6
25649,3,1,3,5
25653,3,2,3,7
25658,1,1,2,6
25662,3,2,2,6
25718,2,2,2,6
25736,2,2,2,5
25740,2,3,2,3
25743,3,2,2,3
25745,2,2,3,6
25754,1,2,1,2
25099,3,1,2,5
25095,4,4,7,9
25086,3,2,2,6
25053,3,2,2,5
25040,2,2,2,5
25035,3,1,1,3
25148,3,2,3,7
25151,2,1,2,4
25154,3,3,2,7
25168,3,2,2,7
25175,1,2,1,1
25178,3,1,2,5
25019,4,3,3,9
25126,1,2,1,1
25001,3,2,2,3
25123,3,2,2,7
25120,3,2,2,6
25181,3,1,2,4
25183,3,2,2,4
25200,3,2,2,4
25214,1,2,1,1
25224,3,3,2,6
25245,3,1,1,4
25258,99,99,99,99
25260,1,2,3,6
25269,2,2,2,2
25279,3,1,3,5
25281,3,1,2,6
25286,1,2,1,1
25793,3,2,2,6
25785,5,2,2,3
25781,3,3,2,6
25823,3,2,3,7
25839,3,2,2,6
25841,3,2,2,5
25779,3,2,3,6
25817,1,1,1,2
25777,3,2,2,6
25815,2,2,2,4
25772,3,2,2,5
25807,3,2,2,7
25862,4,3,7,8
25867,3,2,2,5
25871,3,2,2,8
25873,3,1,2,5
25875,2,2,2,3
25878,3,1,2,5
25769,1,1,2,5
25805,3,2,2,5
25851,2,2,1,6
25899,1,2,1,2
25758,2,2,1,2
25799,2,2,1,2
25845,3,1,2,5
25898,3,2,3,8
25797,4,3,7,9
25843,3,2,2,3
25885,3,2,3,7
25312,3,2,2,7
25307,1,2,1,3
25299,3,2,2,5
25297,3,2,2,5
25295,2,2,2,5
25293,3,2,2,5
25290,1,2,1,2
25288,3,2,2,5
25320,3,2,2,4
25322,2,2,2,3
25324,4,4,7,8
25326,1,2,2,5
25328,4,3,7,8
25335,3,2,1,6
25339,3,2,2,7
25368,4,4,7,8
25317,2,2,2,5
25372,3,2,2,6
25377,1,2,1,2
25386,2,2,2,3
25394,3,1,2,6
25398,4,4,7,8
25402,1,2,1,5
25407,3,2,2,6
25426,3,2,2,6
25430,1,2,1,1
25436,3,3,2,5
25438,3,3,2,6
25473,1,2,1,1
11001,1,1,1,1
15001,1,2,1,2
15022,3,2,2,7
15047,2,2,2,6
15051,2,2,2,6
15087,2,2,2,6
15090,3,2,2,7
15092,99,99,99,99
15097,3,2,2,5
15104,3,3,1,5
15106,3,3,3,8
15109,3,2,3,8
15114,99,99,99,99
15131,3,3,3,8
15135,99,99,99,99
15162,4,4,7,8
15172,2,2,3,4
15176,2,1,2,3
15183,3,2,3,7
15185,3,1,2,5
15187,3,3,3,7
15189,2,2,3,7
15204,3,2,3,6
15212,3,2,2,7
15215,3,3,4,8
15377,99,99,99,99
15380,4,4,9,9
15401,4,3,7,8
15403,2,2,2,5
15542,2,2,3,6
15550,99,99,99,99
15572,1,2,2,4
15580,3,3,3,8
15755,3,2,2,7
15757,2,2,2,6
15759,1,2,1,2
15761,3,2,2,5
15842,4,4,7,8
15861,3,2,2,6
15879,3,2,2,7
15897,3,1,1,6
15218,99,99,99,99
15224,3,2,3,7
15226,3,3,3,7
15232,4,3,4,8
15236,2,2,1,6
15238,1,2,1,2
15244,2,2,2,5
15248,2,2,2,6
15272,2,2,2,5
15276,3,3,3,6
15293,3,3,2,10
15296,3,3,3,6
15299,3,2,2,4
15317,99,99,99,99
15322,3,2,2,3
15325,3,2,3,5
15362,4,3,7,8
15367,3,2,2,6
15368,4,3,4,8
15407,2,2,1,3
15425,3,2,2,5
15442,3,2,3,8
15455,1,2,2,5
15464,4,3,4,8
15466,4,3,4,9
15469,3,2,2,4
15476,3,2,3,7
15480,2,2,2,5
15491,2,2,3,4
15494,3,2,2,7
15500,3,3,2,7
15507,3,2,3,7
15511,3,3,2,5
15514,2,1,2,5
15516,2,2,2,3
15518,2,2,2,6
15522,99,99,99,99
15531,3,2,3,7
15533,3,3,2,7
15537,2,1,3,5
15599,1,2,2,5
15600,3,1,2,6
15621,3,3,4,8
15632,3,2,3,6
15638,4,5,7,9
15646,3,1,2,5
15660,4,3,6,8
15664,3,1,2,6
15667,2,2,2,6
15673,2,2,2,5
15676,3,3,2,6
15681,3,2,3,7
15686,1,1,2,5
15690,4,3,8,9
15693,3,2,2,5
15696,3,3,2,5
15720,3,2,2,7
15723,99,99,99,99
15740,3,2,3,6
15753,2,2,2,3
15762,3,2,2,7
15763,3,3,2,6
15764,3,2,2,7
15774,3,2,2,5
15776,3,2,2,6
15778,3,2,2,5
15790,3,2,2,7
15798,3,1,2,5
15804,3,2,2,6
15806,2,2,2,5
15808,3,1,2,10
15810,3,2,2,5
15814,3,2,3,6
15816,3,2,2,6
15820,3,2,2,10
15822,4,3,6,8
15832,4,4,7,8
15835,2,2,2,5
15837,3,2,2,6
15839,99,99,99,99
23001,2,2,1,3
23068,3,3,3,5
23079,3,3,2,5
23090,3,3,2,5
23162,2,2,2,3
23168,3,3,3,5
23182,2,3,3,4
23189,3,3,3,5
23300,3,2,3,5
23350,2,3,2,5
23417,3,2,2,4
23419,3,3,3,5
23464,3,3,2,6
23500,3,3,3,5
23555,3,3,3,4
23570,3,3,3,5
23574,3,3,3,6
23586,3,3,3,6
23660,2,3,2,3
23670,3,3,3,5
23672,2,3,2,4
23675,3,3,2,6
23678,3,3,3,5
23682,4,3,3,7
23686,3,3,2,5
23815,4,3,3,7
23855,3,3,3,5
8001,2,1,1,2
8078,2,3,2,4
8137,3,3,3,7
8141,4,2,3,6
8296,1,2,2,2
8372,3,2,2,6
8421,3,3,2,6
8433,1,2,3,3
8436,4,3,2,6
8520,2,3,3,5
8549,4,3,2,5
8558,4,3,2,6
8560,3,3,3,7
8573,1,2,1,1
8606,3,3,3,7
8634,2,3,3,5
8638,3,2,2,4
8675,4,3,2,7
8685,2,2,2,3
8758,2,2,2,2
8770,1,2,2,7
8832,4,2,2,6
8849,4,3,2,6
5001,1,1,1,1
5101,2,2,2,3
5107,3,3,2,5
5113,3,3,1,4
5120,3,3,3,5
5093,3,3,2,4
5091,2,3,2,3
5088,1,1,1,2
5086,3,3,2,3
5079,2,2,2,3
5059,3,2,1,1
5055,3,3,3,5
5051,3,3,2,4
5045,2,2,2,3
5044,3,3,2,5
5042,2,2,1,2
5040,3,3,2,4
5038,3,3,3,4
5036,3,3,3,4
5034,3,3,2,3
5031,2,3,2,4
5030,2,2,2,3
5021,2,3,2,3
5004,3,3,1,4
5002,3,3,2,3
5895,3,2,2,4
5893,3,3,2,5
5890,3,3,2,4
5887,2,3,2,3
5885,3,2,2,4
5861,2,3,2,3
5858,2,3,1,3
5856,2,3,2,3
5854,3,3,2,5
5842,3,3,2,4
5837,3,3,2,4
5819,3,3,2,5
5809,3,3,2,3
5792,2,3,2,3
5790,3,3,2,5
5789,2,3,2,3
5761,2,3,1,3
5756,2,3,2,3
5736,1,2,2,4
5697,2,2,2,3
5690,3,3,2,3
5686,2,3,2,3
5679,2,3,1,3
5306,2,3,2,4
5282,2,3,2,3
5266,1,1,1,1
5264,2,2,1,3
5250,3,2,2,4
5240,3,3,2,3
5237,2,2,2,3
5212,1,2,1,1
5209,3,3,2,4
5206,2,3,2,3
5197,3,3,2,4
5190,1,3,1,3
5172,2,3,2,4
5154,2,3,2,4
5150,2,3,1,3
5148,2,1,1,3
5147,2,2,2,3
5145,3,3,3,4
5142,3,3,2,3
5138,3,3,2,4
5134,3,3,2,5
5129,1,2,1,2
5125,3,3,2,4
5674,3,3,2,3
5670,2,3,1,3
5667,2,3,2,3
5665,3,3,2,4
