"";"V1";"V2";"V3";"V4";"V5"
"1";"5631";"73001";"25843";"8832";"17001"
"2";"8573";"76111";"44001";"19110";"25785"
"3";"25473";"68547";"5315";"52079";"17001"
"4";"25126";"52001";"25001";"81591";"25785"
"5";"5266";"47001";"5034";"19050";"17001"
"6";"68001";"76622";"5250";"20383";"25785"
"7";"25214";"15516";"76275";"85230";"17001"
"8";"5607";"50226";"5585";"15464";"25785"
"9";"68276";"8001";"5837";"70265";"17001"
"10";"25175";"50001";"76563";"86571";"25785"
"11";"25286";"17873";"5604";"47170";"17001"
"12";"5380";"68081";"5142";"97001";"25785"
"13";"5615";"76834";"5310";"19130";"17001"
"14";"25430";"85001";"23555";"13894";"25785"
"15";"63001";"66682";"25572";"54128";"17001"
"16";"5321";"27001";"70820";"44090";"25785"
"17";"76364";"20001";"76670";"19075";"17001"
"18";"15001";"25758";"41298";"18460";"25785"
"19";"15238";"17174";"5113";"47692";"17001"
"20";"15759";"63190";"5002";"70233";"25785"
"21";"68679";"17380";"23466";"70230";"17001"
"22";"8296";"76036";"5501";"54344";"25785"
"23";"5736";"73275";"5885";"95025";"17001"
"24";"8433";"20011";"50318";"18410";"25785"
"25";"25612";"76147";"85410";"19780";"17001"
"26";"15572";"54405";"15322";"15466";"25785"
"27";"50110";"54001";"5674";"15223";"17001"
"28";"85139";"68307";"44874";"20614";"25785"
"29";"85440";"13001";"5040";"19824";"17001"
"30";"50606";"5318";"5240";"19418";"25785"
"31";"63690";"5440";"5893";"18860";"17001"
"32";"85263";"76892";"5642";"41206";"25785"
"33";"76233";"5308";"5145";"18610";"17001"
"34";"70221";"25269";"17653";"18785";"25785"
"35";"86568";"73268";"5197";"44110";"17001"
"36";"15455";"70001";"23417";"47798";"25785"
"37";"73055";"5042";"25183";"70124";"17001"
"38";"17513";"5150";"73861";"70235";"25785"
"39";"25658";"63130";"76126";"41530";"17001"
"40";"85300";"73349";"20710";"47318";"25785"
"41";"13430";"66400";"5480";"8549";"17001"
"42";"68549";"5148";"17042";"20570";"25785"
"43";"85162";"8758";"5209";"47161";"17001"
"44";"76041";"23001";"5411";"19760";"25785"
"45";"81220";"5697";"5652";"95200";"17001"
"46";"25260";"13836";"66687";"41020";"25785"
"47";"99001";"18001";"5086";"19397";"17001"
"48";"63272";"5400";"5138";"41006";"25785"
"49";"68079";"54518";"70670";"19318";"17001"
"50";"68211";"5686";"5890";"13458";"25785"
"51";"50124";"5264";"25320";"47205";"17001"
"52";"68327";"76895";"25743";"86757";"25785"
"53";"25402";"76130";"5234";"25592";"17001"
"54";"15686";"25875";"20621";"47058";"25785"
"55";"15599";"54874";"15299";"52405";"17001"
"56";"27006";"5858";"5107";"15368";"25785"
"57";"25769";"25740";"5093";"41660";"17001"
"58";"54250";"5664";"5347";"19212";"25785"
"59";"8770";"5237";"17777";"25019";"17001"
"60";"41797";"41551";"13244";"19809";"25785"
"61";"25326";"5353";"5628";"8558";"17001"
"62";"5212";"5656";"70473";"70717";"25785"
"63";"5360";"5861";"5690";"70678";"17001"
"64";"11001";"5658";"68406";"47707";"25785"
"65";"66170";"5021";"5467";"19821";"17001"
"66";"5129";"5541";"25035";"18150";"25785"
"67";"5376";"5887";"25245";"99624";"17001"
"68";"25377";"5030";"66088";"44420";"25785"
"69";"25754";"76113";"5059";"68686";"17001"
"70";"19001";"86001";"44035";"41483";"25785"
"71";"25290";"5364";"13468";"8436";"17001"
"72";"25307";"63594";"5895";"81300";"25785"
"73";"25899";"5679";"5847";"8849";"17001"
"74";"25817";"70215";"73671";"99524";"25785"
"75";"5190";"76736";"5004";"47541";"17001"
"76";"5390";"68432";"52838";"50325";"25785"
"77";"50006";"15407";"8638";"52418";"17001"
"78";"68755";"5425";"5665";"23815";"25785"
"79";"73449";"5045";"5134";"68705";"17001"
"80";"5001";"27361";"73686";"8675";"25785"
"81";"5088";"5670";"63302";"15232";"17001"
"82";"41001";"5154";"68872";"52250";"25785"
"83";"66001";"50313";"54172";"47703";"17001"
"84";"76001";"5282";"25200";"47460";"25785"
"85";"76520";"5591";"5055";"47605";"17001"
"86";"5631";"68077";"15798";"23682";"25785"
"87";"8573";"76890";"52885";"13490";"17001"
"88";"25473";"17877";"73483";"85279";"25785"
"89";"25126";"20013";"73770";"52696";"17001"
"90";"5266";"73168";"73873";"15822";"25785"
"91";"68001";"76403";"73854";"27372";"17001"
"92";"25214";"5206";"50223";"25797";"25785"
"93";"5607";"5756";"5809";"15690";"17001"
"94";"68276";"73408";"76100";"52385";"25785"
"95";"25175";"85250";"68296";"47720";"17001"
"96";"25286";"44279";"19548";"15362";"25785"
"97";"5380";"15753";"73461";"27250";"17001"
"98";"5615";"73148";"50287";"86569";"25785"
"99";"25430";"73030";"25871";"47745";"17001"
"100";"63001";"20060";"5819";"97161";"25785"
"101";"5321";"15491";"5038";"41503";"17001"
"102";"76364";"86749";"73675";"19300";"25785"
"103";"15001";"20400";"17616";"27430";"17001"
"104";"15238";"17495";"5125";"27450";"25785"
"105";"15759";"50568";"50683";"27025";"17001"
"106";"68679";"13654";"63548";"47570";"25785"
"107";"8296";"68147";"25394";"18756";"17001"
"108";"5736";"25745";"5790";"25328";"25785"
"109";"8433";"76020";"52354";"52390";"17001"
"110";"25612";"63212";"19532";"50370";"25785"
"111";"15572";"5368";"68689";"18205";"17001"
"112";"50110";"54498";"52480";"15842";"25785"
"113";"85139";"5079";"76869";"15832";"17001"
"114";"85440";"76122";"15097";"20310";"25785"
"115";"50606";"25799";"15820";"52256";"17001"
"116";"63690";"19698";"25099";"20295";"25785"
"117";"85263";"76248";"76243";"54385";"17001"
"118";"76233";"5147";"25297";"47268";"25785"
"119";"70221";"63470";"17388";"52260";"17001"
"120";"86568";"5031";"13670";"99773";"25785"
"121";"15455";"5789";"25513";"47545";"17001"
"122";"73055";"63401";"41396";"52258";"25785"
"123";"17513";"19573";"47555";"47960";"17001"
"124";"25658";"76318";"25120";"15660";"25785"
"125";"85300";"5660";"15720";"63111";"17001"
"126";"13430";"81001";"5842";"25862";"25785"
"127";"68549";"50689";"23068";"68820";"17001"
"128";"85162";"5284";"52320";"54313";"25785"
"129";"76041";"5576";"13683";"25398";"17001"
"130";"81220";"5172";"52287";"54398";"25785"
"131";"25260";"76400";"23189";"47258";"17001"
"132";"99001";"41132";"54810";"13873";"25785"
"133";"63272";"5647";"15837";"15162";"17001"
"134";"68079";"8685";"68207";"50686";"25785"
"135";"68211";"23660";"50400";"15380";"17001"
"136";"50124";"76109";"25293";"25324";"25785"
"137";"68327";"50573";"15212";"76845";"17001"
"138";"25402";"44650";"68861";"68780";"25785"
"139";"15686";"68655";"76306";"25095";"17001"
"140";"15599";"50150";"73870";"86219";"25785"
"141";"27006";"5649";"15469";"15401";"17001"
"142";"25769";"44430";"15022";"25368";"25785"
"143";"54250";"73319";"17444";"18029";"17001"
"144";"8770";"68575";"47551";"15638";"25785"
"145";"41797";"13657";"47245";"8141";"17001"
"146";"25326";"81736";"68190";"8832";"25785"
"147";"5212";"5792";"73152";"19110";"17001"
"148";"5360";"47288";"85430";"52079";"25785"
"149";"11001";"8078";"68669";"81591";"17001"
"150";"66170";"73024";"5051";"19050";"25785"
"151";"5129";"73585";"13140";"20383";"17001"
"152";"5376";"52356";"41524";"85230";"25785"
"153";"25377";"25322";"13188";"15464";"17001"
"154";"25754";"73547";"23807";"70265";"25785"
"155";"19001";"15403";"25168";"86571";"17001"
"156";"25290";"25599";"73678";"47170";"25785"
"157";"25307";"23182";"5873";"97001";"17001"
"158";"25899";"76828";"76377";"19130";"25785"
"159";"25817";"76823";"66440";"13894";"17001"
"160";"5190";"76497";"68464";"54128";"25785"
"161";"5390";"68895";"23464";"44090";"17001"
"162";"50006";"15087";"50330";"19075";"25785"
"163";"68755";"73347";"25807";"18460";"17001"
"164";"73449";"17013";"73624";"47692";"25785"
"165";"5001";"17541";"25483";"70233";"17001"
"166";"5088";"15537";"15276";"70230";"25785"
"167";"41001";"17524";"5036";"54344";"17001"
"168";"66001";"86755";"44078";"95025";"25785"
"169";"76001";"15757";"73283";"18410";"17001"
"170";"76520";"73563";"68682";"19780";"25785"
"171";"5631";"23672";"44378";"15466";"17001"
"172";"8573";"17050";"66318";"15223";"25785"
"173";"25473";"13673";"13688";"20614";"17001"
"174";"25126";"8634";"15293";"19824";"25785"
"175";"5266";"15518";"86320";"19418";"17001"
"176";"68001";"15514";"5495";"18860";"25785"
"177";"25214";"15673";"68162";"41206";"17001"
"178";"5607";"73352";"70508";"18610";"25785"
"179";"68276";"15172";"73622";"18785";"17001"
"180";"25175";"23350";"52683";"44110";"25785"
"181";"25286";"76054";"25181";"47798";"17001"
"182";"5380";"68245";"68167";"70124";"25785"
"183";"5615";"15480";"15296";"70235";"17001"
"184";"25430";"15835";"68377";"41530";"25785"
"185";"63001";"25486";"68132";"47318";"17001"
"186";"5321";"25530";"68169";"8549";"25785"
"187";"76364";"25851";"52224";"20570";"17001"
"188";"15001";"17433";"15804";"47161";"25785"
"189";"15238";"25151";"52585";"19760";"17001"
"190";"15759";"15806";"41306";"95200";"25785"
"191";"68679";"15272";"5490";"41020";"17001"
"192";"8296";"15244";"15507";"19397";"25785"
"193";"5736";"73026";"76606";"41006";"17001"
"194";"8433";"25295";"68322";"19318";"25785"
"195";"25612";"13838";"85125";"13458";"17001"
"196";"15572";"15047";"52323";"47205";"25785"
"197";"50110";"50680";"25299";"86757";"17001"
"198";"85139";"25040";"73124";"25592";"25785"
"199";"85440";"76246";"27800";"47058";"17001"
"200";"50606";"25718";"23686";"52405";"25785"
"201";"63690";"8520";"15425";"15368";"17001"
"202";"85263";"25736";"73217";"41660";"25785"
"203";"76233";"95001";"25841";"19212";"17001"
"204";"70221";"27075";"25086";"25019";"25785"
"205";"86568";"41378";"50251";"19809";"17001"
"206";"15455";"5579";"15790";"8558";"25785"
"207";"73055";"5761";"13160";"70717";"17001"
"208";"17513";"5101";"52022";"70678";"25785"
"209";"25658";"25386";"15814";"47707";"17001"
"210";"85300";"73443";"54418";"19821";"25785"
"211";"13430";"5667";"5120";"18150";"17001"
"212";"68549";"15176";"17486";"99624";"25785"
"213";"85162";"23162";"68425";"44420";"17001"
"214";"76041";"5856";"15646";"68686";"25785"
"215";"81220";"73411";"73555";"41483";"17001"
"216";"25260";"25815";"25867";"8436";"25785"
"217";"99001";"47189";"76616";"81300";"17001"
"218";"63272";"5091";"52506";"8849";"25785"
"219";"68079";"85010";"15090";"99524";"17001"
"220";"68211";"5313";"44855";"47541";"25785"
"221";"50124";"5361";"5044";"50325";"17001"
"222";"68327";"5306";"73200";"52418";"25785"
"223";"25402";"17446";"88564";"23815";"17001"
"224";"15686";"13052";"54553";"68705";"25785"
"225";"15599";"17614";"25662";"8675";"17001"
"226";"27006";"73226";"50577";"15232";"25785"
"227";"25769";"73236";"52788";"52250";"17001"
"228";"54250";"76250";"15367";"47703";"25785"
"229";"8770";"17867";"41668";"47460";"17001"
"230";"41797";"15051";"25491";"47605";"25785"
"231";"25326";"15667";"73520";"23682";"17001"
"232";"5212";"25317";"27787";"13490";"25785"
"233";"5360";"15542";"52399";"85279";"17001"
"234";"11001";"15236";"85400";"52696";"25785"
"235";"66170";"15189";"5659";"15822";"17001"
"236";"5129";"15180";"15325";"27372";"25785"
"237";"5376";"15248";"8421";"25797";"17001"
"238";"25377";"52378";"15696";"15690";"25785"
"239";"25754";"13222";"68320";"52385";"17001"
"240";"19001";"27205";"25339";"47720";"25785"
"241";"25290";"54239";"68444";"15362";"17001"
"242";"25307";"54800";"50245";"27250";"25785"
"243";"25899";"73001";"23570";"86569";"17001"
"244";"25817";"76111";"19290";"47745";"25785"
"245";"5190";"68547";"17272";"97161";"17001"
"246";"5390";"52001";"17662";"41503";"25785"
"247";"50006";"47001";"70742";"19300";"17001"
"248";"68755";"76622";"68573";"27430";"25785"
"249";"73449";"15516";"54125";"27450";"17001"
"250";"5001";"50226";"68524";"27025";"25785"
"251";"5088";"8001";"15104";"47570";"17001"
"252";"41001";"50001";"27495";"18756";"25785"
"253";"66001";"17873";"5543";"25328";"17001"
"254";"76001";"68081";"25178";"52390";"25785"
"255";"76520";"76834";"25506";"50370";"17001"
"256";"5631";"85001";"95015";"18205";"25785"
"257";"8573";"66682";"68013";"15842";"17001"
"258";"25473";"27001";"25594";"15832";"25785"
"259";"25126";"20001";"86760";"20310";"17001"
"260";"5266";"25758";"8606";"52256";"25785"
"261";"68001";"17174";"68266";"20295";"17001"
"262";"25214";"63190";"52019";"54385";"25785"
"263";"5607";"17380";"19807";"47268";"17001"
"264";"68276";"76036";"13744";"52260";"25785"
"265";"25175";"73275";"76863";"99773";"17001"
"266";"25286";"20011";"25777";"47545";"25785"
"267";"5380";"76147";"54206";"52258";"17001"
"268";"5615";"54405";"50590";"47960";"25785"
"269";"25430";"54001";"25845";"15660";"17001"
"270";"63001";"68307";"68264";"63111";"25785"
"271";"5321";"13001";"52835";"25862";"17001"
"272";"76364";"5318";"25772";"68820";"25785"
"273";"15001";"5440";"17088";"54313";"17001"
"274";"15238";"76892";"68684";"25398";"25785"
"275";"15759";"5308";"25873";"54398";"17001"
"276";"68679";"25269";"81065";"47258";"25785"
"277";"8296";"73268";"13667";"13873";"17001"
"278";"5736";"70001";"68344";"15162";"25785"
"279";"8433";"5042";"73270";"50686";"17001"
"280";"25612";"5150";"15774";"15380";"25785"
"281";"15572";"63130";"15776";"25324";"17001"
"282";"50110";"73349";"23670";"76845";"25785"
"283";"85139";"66400";"70708";"68780";"17001"
"284";"85440";"5148";"19455";"25095";"25785"
"285";"50606";"8758";"15810";"86219";"17001"
"286";"63690";"23001";"68770";"15401";"25785"
"287";"85263";"5697";"25781";"25368";"17001"
"288";"76233";"13836";"68855";"18029";"25785"
"289";"70221";"18001";"68229";"15638";"17001"
"290";"86568";"5400";"68255";"8141";"25785"
"291";"15455";"54518";"15763";"8832";"17001"
"292";"73055";"5686";"68502";"19110";"25785"
"293";"17513";"5264";"68160";"52079";"17001"
"294";"25658";"76895";"25053";"81591";"25785"
"295";"85300";"76130";"73067";"19050";"17001"
"296";"13430";"25875";"13810";"20383";"25785"
"297";"68549";"54874";"68572";"85230";"17001"
"298";"85162";"5858";"68092";"15464";"25785"
"299";"76041";"25740";"15183";"70265";"17001"
"300";"81220";"5664";"81794";"86571";"25785"
"301";"25260";"5237";"15224";"47170";"17001"
"302";"99001";"41551";"85325";"97001";"25785"
"303";"63272";"5353";"25878";"19130";"17001"
"304";"68079";"5656";"15500";"13894";"25785"
"305";"68211";"5861";"5483";"54128";"17001"
"306";"50124";"5658";"50711";"44090";"25785"
"307";"68327";"5021";"15511";"19075";"17001"
"308";"25402";"5541";"18753";"18460";"25785"
"309";"15686";"5887";"70823";"47692";"17001"
"310";"15599";"5030";"15897";"70233";"25785"
"311";"27006";"76113";"66383";"70230";"17001"
"312";"25769";"86001";"25279";"54344";"25785"
"313";"54250";"5364";"66045";"95025";"17001"
"314";"8770";"63594";"25438";"18410";"25785"
"315";"41797";"5679";"5854";"19780";"17001"
"316";"25326";"70215";"13600";"15466";"25785"
"317";"5212";"76736";"15494";"15223";"17001"
"318";"5360";"68432";"23855";"20614";"25785"
"319";"11001";"15407";"15861";"19824";"17001"
"320";"66170";"5425";"25426";"19418";"25785"
"321";"5129";"5045";"41518";"18860";"17001"
"322";"5376";"27361";"13212";"41206";"25785"
"323";"25377";"5670";"15185";"18610";"17001"
"324";"25754";"5154";"94001";"18785";"25785"
"325";"19001";"50313";"5475";"44110";"17001"
"326";"25290";"5282";"41615";"47798";"25785"
"327";"25307";"5591";"68121";"70124";"17001"
"328";"25899";"68077";"52317";"70235";"25785"
"329";"25817";"76890";"41548";"41530";"17001"
"330";"5190";"17877";"52411";"47318";"25785"
"331";"5390";"20013";"25885";"8549";"17001"
"332";"50006";"73168";"13580";"20570";"25785"
"333";"68755";"76403";"52352";"47161";"17001"
"334";"73449";"5206";"68533";"19760";"25785"
"335";"5001";"5756";"70418";"95200";"17001"
"336";"5088";"73408";"47053";"41020";"25785"
"337";"41001";"85250";"17442";"19397";"17001"
"338";"66001";"44279";"54245";"41006";"25785"
"339";"76001";"15753";"54480";"19318";"17001"
"340";"76520";"73148";"66456";"13458";"25785"
"341";"5631";"73030";"66075";"47205";"17001"
"342";"8573";"20060";"25488";"86757";"25785"
"343";"25473";"15491";"13248";"25592";"17001"
"344";"25126";"86749";"85225";"47058";"25785"
"345";"5266";"20400";"13780";"52405";"17001"
"346";"68001";"17495";"15531";"15368";"25785"
"347";"25214";"50568";"68745";"41660";"17001"
"348";"5607";"13654";"15808";"19212";"25785"
"349";"68276";"68147";"86885";"25019";"17001"
"350";"25175";"25745";"15664";"19809";"25785"
"351";"25286";"76020";"52207";"8558";"17001"
"352";"5380";"63212";"68867";"70717";"25785"
"353";"5615";"5368";"41026";"70678";"17001"
"354";"25430";"54498";"52573";"47707";"25785"
"355";"63001";"5079";"68368";"19821";"17001"
"356";"5321";"76122";"68209";"18150";"25785"
"357";"76364";"25799";"15762";"99624";"17001"
"358";"15001";"19698";"23300";"44420";"25785"
"359";"15238";"76248";"13473";"68686";"17001"
"360";"15759";"5147";"15332";"41483";"25785"
"361";"68679";"63470";"17665";"8436";"17001"
"362";"8296";"5031";"18256";"81300";"25785"
"363";"5736";"5789";"68318";"8849";"17001"
"364";"8433";"63401";"68498";"99524";"25785"
"365";"25612";"19573";"13074";"47541";"17001"
"366";"15572";"76318";"41016";"50325";"25785"
"367";"50110";"5660";"27660";"52418";"17001"
"368";"85139";"81001";"54377";"23815";"25785"
"369";"85440";"50689";"85015";"68705";"17001"
"370";"50606";"5284";"25123";"8675";"25785"
"371";"63690";"5576";"73504";"15232";"17001"
"372";"85263";"5172";"13030";"52250";"25785"
"373";"76233";"76400";"52693";"47703";"17001"
"374";"70221";"41132";"13440";"47460";"25785"
"375";"86568";"5647";"68271";"47605";"17001"
"376";"15455";"8685";"68324";"23682";"25785"
"377";"73055";"23660";"25436";"13490";"17001"
"378";"17513";"76109";"15778";"85279";"25785"
"379";"25658";"50573";"41676";"52696";"17001"
"380";"85300";"44650";"23675";"15822";"25785"
"381";"13430";"68655";"25154";"27372";"17001"
"382";"68549";"50150";"50450";"25797";"25785"
"383";"85162";"5649";"13647";"15690";"17001"
"384";"76041";"44430";"25518";"52385";"25785"
"385";"81220";"73319";"68522";"47720";"17001"
"386";"25260";"68575";"15761";"15362";"25785"
"387";"99001";"13657";"52240";"27250";"17001"
"388";"63272";"81736";"25407";"86569";"25785"
"389";"68079";"5792";"66594";"47745";"17001"
"390";"68211";"47288";"68673";"97161";"25785"
"391";"50124";"8078";"52210";"41503";"17001"
"392";"68327";"73024";"25148";"19300";"25785"
"393";"25402";"73585";"68176";"27430";"17001"
"394";"15686";"52356";"68051";"27450";"25785"
"395";"15599";"25322";"73616";"27025";"17001"
"396";"27006";"73547";"18592";"47570";"25785"
