"";"V1";"V2";"V3";"V4";"V5"
"1";"20228";"47001";"63130";"25324";"15638"
"2";"20770";"20250";"86755";"15842";"15638"
"3";"76041";"68307";"66687";"52258";"15638"
"4";"76497";"25175";"54109";"15832";"15638"
"5";"11001";"76892";"54520";"54398";"15638"
"6";"18753";"5059";"5172";"47258";"15638"
"7";"25530";"73408";"68264";"54385";"15638"
"8";"76823";"52110";"68673";"25368";"15638"
"9";"20400";"50287";"25489";"15380";"15638"
"10";"76020";"85001";"8606";"47545";"15638"
"11";"76403";"13442";"41791";"20295";"15638"
"12";"95001";"15087";"5579";"25095";"15638"
"13";"20238";"68077";"15500";"68820";"15638"
"14";"18001";"85410";"25781";"15162";"15638"
"15";"25658";"5360";"13667";"25398";"15638"
"16";"76400";"68755";"5887";"25324";"15638"
"17";"25178";"68855";"25154";"15842";"15638"
"18";"85430";"19698";"5837";"52258";"15638"
"19";"50568";"5631";"5819";"15832";"15638"
"20";"25769";"41801";"73483";"54398";"15638"
"21";"76890";"73055";"54051";"47258";"15638"
"22";"25181";"86757";"5031";"54385";"15638"
"23";"50683";"41001";"13160";"25368";"15638"
"24";"68179";"25126";"19022";"15380";"15638"
"25";"52207";"50711";"25224";"47545";"15638"
"26";"20178";"73026";"15276";"20295";"15638"
"27";"76147";"27001";"73349";"25095";"15638"
"28";"52399";"76248";"54245";"68820";"15638"
"29";"25279";"15632";"63190";"15162";"15638"
"30";"68500";"25123";"25438";"25398";"15638"
"31";"25483";"54874";"44560";"25324";"15638"
"32";"81794";"50251";"76670";"15842";"15638"
"33";"73443";"20443";"19397";"52258";"15638"
"34";"81736";"25754";"13580";"15832";"15638"
"35";"73616";"17001";"54800";"54398";"15638"
"36";"23580";"15814";"15511";"47258";"15638"
"37";"68250";"25317";"5154";"54385";"15638"
"38";"50318";"25214";"25740";"25368";"15638"
"39";"41006";"5615";"76377";"15380";"15638"
"40";"50330";"15861";"73152";"47545";"15638"
"41";"15798";"76520";"5234";"20295";"15638"
"42";"50400";"15097";"25436";"25095";"15638"
"43";"25099";"15681";"63401";"68820";"15638"
"44";"17513";"68444";"41799";"15162";"15638"
"45";"52573";"73520";"8436";"25398";"15638"
"46";"20570";"52585";"63470";"25324";"15638"
"47";"5604";"20175";"8634";"15842";"15638"
"48";"25035";"52356";"23660";"52258";"15638"
"49";"50450";"70110";"52405";"15832";"15638"
"50";"76622";"73347";"23574";"54398";"15638"
"51";"15646";"41020";"47551";"47258";"15638"
"52";"52320";"13440";"5679";"54385";"15638"
"53";"85139";"85300";"50245";"25368";"15638"
"54";"68669";"25307";"44847";"15380";"15638"
"55";"18150";"15764";"23555";"47545";"15638"
"56";"68872";"25297";"5107";"20295";"15638"
"57";"13654";"76606";"13650";"25095";"15638"
"58";"17050";"19001";"5364";"68820";"15638"
"59";"85162";"15238";"5390";"15162";"15638"
"60";"81065";"15759";"54344";"25398";"15638"
"61";"25535";"25772";"5656";"25324";"15638"
"62";"41378";"25736";"68322";"15842";"15638"
"63";"15514";"15790";"19473";"52258";"15638"
"64";"68051";"15403";"5686";"15832";"15638"
"65";"17777";"5376";"68468";"54398";"15638"
"66";"15808";"17444";"73854";"47258";"15638"
"67";"25394";"47288";"8849";"54385";"15638"
"68";"25845";"76113";"5034";"25368";"15638"
"69";"19355";"25875";"8560";"15380";"15638"
"70";"70230";"25843";"19130";"47545";"15638"
"71";"25649";"25312";"70508";"20295";"15638"
"72";"15664";"20710";"5854";"25095";"15638"
"73";"15537";"5079";"19137";"68820";"15638"
"74";"15686";"73030";"27205";"15162";"15638"
"75";"19100";"15455";"52696";"25398";"15638"
"76";"41660";"70001";"23500";"25324";"15638"
"77";"41078";"25841";"91001";"15842";"15638"
"78";"41244";"25513";"41206";"52258";"15638"
"79";"50325";"20787";"17388";"15832";"15638"
"80";"52378";"73449";"15763";"54398";"15638"
"81";"5001";"15001";"19256";"47258";"15638"
"82";"15600";"85010";"8078";"54385";"15638"
