;V1;V2;V3;V4;V5
1;25126;54405;68307;52585;5631
2;25473;99001;5887;86755;
3;5266;25875;63130;;
4;25612;86001;76036;;
5;5390;17174;5576;;
6;5212;91001;76113;;
7;25214;25386;54261;;
8;5607;76892;50150;;
9;8573;73268;5856;;
10;25377;5861;15176;;
11;5615;85410;25769;;
12;25035;5440;20011;;
13;25430;25718;17380;;
14;25175;63690;50689;;
15;5380;5697;20178;;
16;5129;25322;76890;;
17;5360;73148;73443;;
18;25286;44279;76622;;
19;73449;85440;85230;;
20;76364;66400;5045;;
21;5376;5789;25486;;
22;25290;5686;15572;;
23;63001;5101;44035;;
24;68132;25743;76895;;
25;15407;73030;15051;;
26;5088;25151;63594;;
27;19001;5310;63212;;
28;5001;95001;44874;;
29;50006;5667;13430;;
30;68001;73563;5147;;
31;17001;25740;54172;;
32;66001;81794;70215;;
33;76520;54810;25224;;
34;66170;5364;76736;;
35;11001;20013;68549;;
36;15001;85250;5154;;
37;25307;5209;50318;;
38;50568;68755;54553;;
39;73349;5306;81736;;
40;15238;8832;8685;;
41;73275;5002;20621;;
42;68276;5353;8638;;
43;50606;25426;63302;;
44;25483;5021;63401;;
45;5656;73352;76670;;
46;76377;5284;25645;;
47;25899;15480;41551;;
48;68081;41518;23466;;
49;15759;25572;76122;;
50;8001;15720;85139;;
51;5264;73319;41396;;
52;17873;5847;5790;;
53;76111;68162;5579;;
54;85001;5873;66075;;
55;25754;68669;15693;;
56;5190;5895;73124;;
57;50001;13001;25815;;
58;76001;5079;68770;;
59;73001;54518;19845;;
60;76233;70001;5030;;
61;5321;54001;63548;;
62;5308;13836;15511;;
63;41001;76147;5642;;
64;25817;76130;54206;;
65;25402;18001;68209;;
66;5664;19698;5809;;
67;5042;25777;5885;;
68;68655;25269;25288;;
69;27001;50573;76275;;
70;5318;63190;47189;;
71;76834;68418;47555;;
72;70221;25599;85162;;
73;47001;54874;76109;;
74;68679;5400;5893;;
75;20001;44001;19142;;
76;66682;44650;50226;;
77;25758;8296;5854;;
78;52001;17777;27205;;
79;68547;5792;17050;;
80;15104;5361;76318;;
81;5425;5250;76100;;
