"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10"
"1";"25214";"5129";"5079";"25612";"63272";"5483";"15720";"52258";"99624";"5631"
"2";"68001";"66001";"5440";"63401";"17614";"41349";"73504";"15660";"68255";"76130"
"3";"5266";"41001";"5150";"23555";"5490";"68549";"19845";"52381";"25797";"15293"
"4";"25473";"25377";"68755";"68079";"73283";"17388";"73200";"15106";"54398";"15820"
"5";"25126";"8001";"23001";"5154";"25053";"15776";"15224";"50686";"44110";"13647"
"6";"68276";"68547";"25740";"85410";"13657";"25658";"85263";"15232";"15380";"50370"
"7";"5380";"25754";"18001";"23466";"5134";"25260";"20550";"15621";"15466";"76863"
"8";"5001";"50001";"25307";"17877";"5055";"70717";"25491";"15822";"54051";"15808"
"9";"5212";"25899";"8433";"5113";"47288";"25718";"68368";"18479";"54223";"5631"
"10";"5360";"76622";"76318";"15299";"13468";"17541";"41770";"54313";"68780";"76130"
"11";"11001";"15001";"25875";"5890";"5819";"15087";"25524";"15162";"66383";"15293"
"12";"5607";"25817";"86001";"70215";"70670";"19513";"25807";"52612";"68686";"15820"
"13";"76001";"5088";"73449";"25183";"68296";"68162";"25154";"25592";"25019";"13647"
"14";"5615";"66170";"15407";"5660";"5044";"73624";"73217";"52786";"76845";"50370"
"15";"25175";"73001";"52356";"5209";"5790";"68147";"15494";"52405";"15690";"76863"
"16";"25286";"17001";"76403";"76306";"41306";"76020";"68169";"68209";"54673";"15808"
"17";"63001";"15759";"73268";"25815";"41396";"23675";"52320";"52036";"25095";"5631"
"18";"76364";"15238";"76400";"52838";"25326";"20443";"52110";"47545";"41801";"76130"
"19";"8573";"54405";"27361";"44035";"23350";"68502";"8560";"25871";"86219";"15293"
"20";"25430";"19001";"76670";"5411";"23189";"25426";"25312";"76250";"15638";"15820"
"21";"5059";"76892";"5400";"44874";"76823";"19318";"52079";"15368";"63111";"13647"
"22";"25214";"68307";"5656";"5145";"52399";"41013";"18592";"25594";"99624";"50370"
"23";"68001";"68679";"5697";"5004";"68872";"68132";"25123";"47675";"68255";"76863"
"24";"5266";"17873";"5390";"25200";"73030";"41676";"52480";"15580";"25797";"15808"
"25";"25473";"5318";"5190";"50313";"20400";"15248";"15755";"25328";"54398";"5631"
